State , ARG    , COND   , GLOBVARS , INSTRUC , LOCVARS , BODY   , CONST  , BINOP  , PROG   , PROGPRIME , COMMAND , UNOP   , EPILOG , SIMPLE , OP     , FUNCTIONS , VTYP   , COMPOSIT , ALGO   , ASSIGN , FNAME  , TERM   , ATOMIC , DECL   , VNAME  , HEADER , SUBFUNCS , PROLOG , BRANCH , <input , eq     , then   , halt   , not    , main   , T_Token , mul    , ;      , V_Token , sub    , if     , else   , N_Token , end    , {      , grt    , or     , div    , sqrt   , and    , =      , F_Token , $      , void   , return , (      ," ,      ", begin  , add    , )      , num    , }      , text   , skip   , print 
S1831 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , R61    , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1830 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R24    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , R24    , error  , error  , R24    , error  , error  , error  , error  , error 
S1829 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , R58    , error  , R58    , error  , error 
S1828 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R31    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , R31    , error  , error  , R31    , error  , error  , error  , error  , error 
S1827 , error  , G1855  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1826 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , R10    , error  , error  , error  , error  , error  , error   , error  , R10    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , R10    , error   , error  , error  , error  , error  , R10    , error  , error  , R10    , error  , error  , error  , error  , error 
S1825 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , R43    , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1824 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , G1854  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1823 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , R44    , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1822 , error  , error  , G1853    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , G1852  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1821 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R25    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , R25    , error  , error  , R25    , error  , error  , error  , error  , error 
S1820 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , S1851  , error  , error  , error  , error  , error  , error   , error  , R22    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , S1850  , error   , error  , error  , error  , error  , R22    , error  , error  , R22    , error  , error  , error  , error  , error 
S1819 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , G1849  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1802 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R16    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1801 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , R36    , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1800 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , R35    , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1799 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , R50    , error  , error  , error  , error  , error  , error  , error  , error  , error 
